,index,mhp_200,mhp_250,mhp_300,mhp_350,mhp_400,mhp_450,mhp_500,mhp_550,mhp_600,mhp_650,mhp_700,LaL
0,0,0.00469216741618,0.0145908085343,0.0106423999708,0.00787599948829,0.00602321907506,0.00489816222035,0.00420659179011,0.00384353233559,0.00368905521035,0.00362041266566,0.00365788375106,0.01
1,1,0.0046925839802,0.0146523100333,0.0107320074276,0.00794072398229,0.00604255100545,0.00486880099545,0.00420756010743,0.003823940079,0.00368789600641,0.00367789828438,0.00372933086618,0.02
2,2,0.00471196856782,0.0147140398702,0.010725603996,0.00796553652256,0.00618070490061,0.00502473461836,0.00435791148098,0.00399954155091,0.00385596692634,0.00384957497168,0.00392180054397,0.05
3,3,0.004743571237,0.0146673075924,0.0107540278538,0.00812357697503,0.00623442184156,0.00508081153365,0.00443300224466,0.00408839271602,0.00390582418247,0.00390617288451,0.00396889597055,0.07
4,4,0.00480096824709,0.0147634087528,0.0108577601211,0.00811652552085,0.00628944555309,0.00516704199167,0.00454662401496,0.00414923999652,0.00406635518717,0.00402343034095,0.00410428496126,0.1
5,5,0.00491525894945,0.0149776041838,0.0111149575789,0.00834841593754,0.00655853324362,0.00541145800643,0.00481492987511,0.00440989784724,0.0042548029783,0.00423525047583,0.00427802823599,0.15
6,6,0.00508559786459,0.0150833611311,0.0113511340078,0.00861896975972,0.00680717890586,0.00564199943995,0.0050398880924,0.00471267071651,0.00461993033767,0.00456424508673,0.00460701773291,0.2
7,7,0.00519758975125,0.0152295710523,0.0114270108035,0.00875193102564,0.0069886430586,0.00586094638125,0.00525237555542,0.0049413458556,0.00478007498716,0.00478336346263,0.00488694142264,0.25
8,8,0.00539594803976,0.0154881097682,0.0116231998416,0.00903018509214,0.00724519242564,0.00619161461704,0.00558743229245,0.00523584795219,0.00515603447196,0.00519627875299,0.00528465006561,0.3
9,9,0.00562282800714,0.015700032198,0.011945502825,0.0092974185352,0.00758331564273,0.00649878826501,0.00593527913191,0.00559397005245,0.00549626294644,0.00550580627211,0.00561789780456,0.35
10,10,0.0058254038204,0.0161348273253,0.0121899937989,0.00962109407235,0.00789941207662,0.00680242967909,0.00626986730371,0.00595884430807,0.00585217269679,0.00588714132954,0.00600539398965,0.4
11,11,0.0061042971486,0.0162430630454,0.0125711704542,0.00998113282145,0.0082594012545,0.00723116394457,0.00667196109692,0.00642065601795,0.0062993129714,0.00631943025534,0.00642894493663,0.45
12,12,0.00639125973344,0.0166105605044,0.0128454347293,0.0103143496325,0.00871222268931,0.00766531165946,0.00711765634795,0.00684603813149,0.00673070353775,0.00673469944869,0.00681725629134,0.5
13,13,0.00670493420762,0.0169029033586,0.0132409559593,0.0107273771348,0.00911871575889,0.00808927139678,0.00751927385,0.00727033133342,0.00717413942508,0.00717818223073,0.0073812771022,0.55
14,14,0.00701065592443,0.0172751566533,0.0135891055812,0.0110796243148,0.00939487755739,0.00852056545069,0.00790853195814,0.00764111481403,0.00760428126693,0.0076749102676,0.00778795535767,0.6
15,16,0.0107375835095,0.0211409531211,0.0176184806259,0.0154159966021,0.0139000011745,0.0130994560445,0.0126386750499,0.0124998347988,0.0124924406683,0.0126111895817,0.0127930422751,1.0
16,17,0.0552048628201,0.0668337075442,0.0646127474493,0.063187240815,0.062672288045,0.0624778439603,0.062566270873,0.062963917008,0.0631516349544,0.0633454755825,0.064227752822,3.0
17,18,0.152007666047,0.165504613385,0.163665105346,0.163449549978,0.162769353579,0.164034040247,0.165141325801,0.166054932346,0.166738209151,0.167878406034,0.16905974692,5.0
18,19,0.317686233798,0.331109576644,0.331809856342,0.333739502149,0.331817984599,0.33252600489,0.333782171991,0.334710099245,0.336432455914,0.337707126428,0.338249734612,7.0
19,20,0.74293511684,0.759568349562,0.75910782161,0.761129274597,0.764012962506,0.766928812037,0.768419363981,0.770365963097,0.769664810695,0.77223744416,0.774497808797,10.0
